"","value","metric","algorithm"
"1",1,"acc","nb"
"2",0.857142857142857,"acc","nb"
"3",0.833333333333333,"acc","nb"
"4",1,"acc","nb"
"5",0.5,"acc","nb"
"6",0.833333333333333,"acc","nb"
"7",0.833333333333333,"acc","nb"
"8",1,"acc","nb"
"9",0.4,"acc","nb"
"10",0.857142857142857,"acc","nb"
"11",0.833333333333333,"acc","nb"
"12",0.833333333333333,"acc","nb"
"13",0.833333333333333,"acc","nb"
"14",0.714285714285714,"acc","nb"
"15",0.8,"acc","nb"
"16",0.714285714285714,"acc","nb"
"17",0.714285714285714,"acc","nb"
"18",1,"acc","nb"
"19",1,"acc","nb"
"20",0.833333333333333,"acc","nb"
"21",0.6,"acc","nb"
"22",0.833333333333333,"acc","nb"
"23",1,"acc","nb"
"24",0.857142857142857,"acc","nb"
"25",0.833333333333333,"acc","nb"
"26",0.833333333333333,"acc","nb"
"27",1,"acc","nb"
"28",0.857142857142857,"acc","nb"
"29",0.666666666666667,"acc","nb"
"30",0.666666666666667,"acc","nb"
"31",1,"acc","nb"
"32",0.8,"acc","nb"
"33",0.714285714285714,"acc","nb"
"34",1,"acc","nb"
"35",0.571428571428571,"acc","nb"
"36",0.857142857142857,"acc","nb"
"37",1,"acc","nb"
"38",0.833333333333333,"acc","nb"
"39",0.6,"acc","nb"
"40",1,"acc","nb"
"41",0.8,"acc","nb"
"42",0.857142857142857,"acc","nb"
"43",1,"acc","nb"
"44",0.714285714285714,"acc","nb"
"45",0.666666666666667,"acc","nb"
"46",0.8,"acc","nb"
"47",0.857142857142857,"acc","nb"
"48",0.666666666666667,"acc","nb"
"49",0.833333333333333,"acc","nb"
"50",0.5,"acc","nb"
"51",1,"kappa","nb"
"52",0.695652173913043,"kappa","nb"
"53",0.666666666666667,"kappa","nb"
"54",1,"kappa","nb"
"55",-0.285714285714286,"kappa","nb"
"56",0.571428571428572,"kappa","nb"
"57",0.666666666666667,"kappa","nb"
"58",1,"kappa","nb"
"59",0.117647058823529,"kappa","nb"
"60",0.695652173913043,"kappa","nb"
"61",0.666666666666667,"kappa","nb"
"62",0.571428571428572,"kappa","nb"
"63",0.666666666666667,"kappa","nb"
"64",0.461538461538462,"kappa","nb"
"65",0.545454545454546,"kappa","nb"
"66",0.3,"kappa","nb"
"67",0.3,"kappa","nb"
"68",1,"kappa","nb"
"69",1,"kappa","nb"
"70",0.571428571428572,"kappa","nb"
"71",0.285714285714286,"kappa","nb"
"72",0.666666666666667,"kappa","nb"
"73",1,"kappa","nb"
"74",0.695652173913043,"kappa","nb"
"75",0.666666666666667,"kappa","nb"
"76",0.571428571428572,"kappa","nb"
"77",1,"kappa","nb"
"78",0.695652173913043,"kappa","nb"
"79",0.25,"kappa","nb"
"80",0.4,"kappa","nb"
"81",1,"kappa","nb"
"82",0,"kappa","nb"
"83",0.461538461538462,"kappa","nb"
"84",1,"kappa","nb"
"85",-0.235294117647059,"kappa","nb"
"86",0.588235294117647,"kappa","nb"
"87",1,"kappa","nb"
"88",0.666666666666667,"kappa","nb"
"89",0.285714285714286,"kappa","nb"
"90",1,"kappa","nb"
"91",0.545454545454546,"kappa","nb"
"92",0.588235294117647,"kappa","nb"
"93",1,"kappa","nb"
"94",0.461538461538462,"kappa","nb"
"95",0.4,"kappa","nb"
"96",0.545454545454546,"kappa","nb"
"97",0.695652173913043,"kappa","nb"
"98",0.4,"kappa","nb"
"99",0.666666666666667,"kappa","nb"
"100",0,"kappa","nb"
"101",0.625,"ROC","nb"
"102",1,"ROC","nb"
"103",0.9,"ROC","nb"
"104",1,"ROC","nb"
"105",1,"ROC","nb"
"106",1,"ROC","nb"
"107",0.9,"ROC","nb"
"108",0.8,"ROC","nb"
"109",0.8,"ROC","nb"
"110",1,"ROC","nb"
"111",0.75,"ROC","nb"
"112",1,"ROC","nb"
"113",1,"ROC","nb"
"114",1,"ROC","nb"
"115",1,"ROC","nb"
"116",0.75,"ROC","nb"
"117",1,"ROC","nb"
"118",0.75,"ROC","nb"
"119",1,"ROC","nb"
"120",1,"ROC","nb"
"121",1,"ROC","nb"
"122",1,"ROC","nb"
"123",1,"ROC","nb"
"124",1,"ROC","nb"
"125",1,"ROC","nb"
"126",1,"ROC","nb"
"127",1,"ROC","nb"
"128",0.75,"ROC","nb"
"129",0.8,"ROC","nb"
"130",1,"ROC","nb"
"131",0.8,"ROC","nb"
"132",1,"ROC","nb"
"133",1,"ROC","nb"
"134",0.9,"ROC","nb"
"135",0.9,"ROC","nb"
"136",1,"ROC","nb"
"137",0.9,"ROC","nb"
"138",0.9,"ROC","nb"
"139",0.875,"ROC","nb"
"140",1,"ROC","nb"
"141",0.625,"ROC","nb"
"142",1,"ROC","nb"
"143",1,"ROC","nb"
"144",0.875,"ROC","nb"
"145",0.9,"ROC","nb"
"146",1,"ROC","nb"
"147",1,"ROC","nb"
"148",1,"ROC","nb"
"149",0.8,"ROC","nb"
"150",1,"ROC","nb"
"151",0.25,"sens","nb"
"152",0.75,"sens","nb"
"153",0.6,"sens","nb"
"154",0.6,"sens","nb"
"155",0.75,"sens","nb"
"156",1,"sens","nb"
"157",0.8,"sens","nb"
"158",0.8,"sens","nb"
"159",1,"sens","nb"
"160",1,"sens","nb"
"161",0.5,"sens","nb"
"162",1,"sens","nb"
"163",1,"sens","nb"
"164",0.8,"sens","nb"
"165",0.75,"sens","nb"
"166",0.75,"sens","nb"
"167",0.8,"sens","nb"
"168",0.75,"sens","nb"
"169",0.75,"sens","nb"
"170",0.75,"sens","nb"
"171",0.8,"sens","nb"
"172",0.25,"sens","nb"
"173",1,"sens","nb"
"174",0.5,"sens","nb"
"175",0.5,"sens","nb"
"176",1,"sens","nb"
"177",0.75,"sens","nb"
"178",0.5,"sens","nb"
"179",0.8,"sens","nb"
"180",0.75,"sens","nb"
"181",1,"sens","nb"
"182",0.5,"sens","nb"
"183",1,"sens","nb"
"184",0.6,"sens","nb"
"185",0.6,"sens","nb"
"186",0.5,"sens","nb"
"187",0.8,"sens","nb"
"188",0.8,"sens","nb"
"189",0.75,"sens","nb"
"190",1,"sens","nb"
"191",1,"sens","nb"
"192",1,"sens","nb"
"193",0.5,"sens","nb"
"194",0.75,"sens","nb"
"195",0.8,"sens","nb"
"196",1,"sens","nb"
"197",0.8,"sens","nb"
"198",1,"sens","nb"
"199",0.8,"sens","nb"
"200",0.5,"sens","nb"
"201",0.5,"spec","nb"
"202",1,"spec","nb"
"203",1,"spec","nb"
"204",1,"spec","nb"
"205",1,"spec","nb"
"206",1,"spec","nb"
"207",0.5,"spec","nb"
"208",1,"spec","nb"
"209",0.5,"spec","nb"
"210",1,"spec","nb"
"211",1,"spec","nb"
"212",0.5,"spec","nb"
"213",1,"spec","nb"
"214",1,"spec","nb"
"215",1,"spec","nb"
"216",0.5,"spec","nb"
"217",1,"spec","nb"
"218",1,"spec","nb"
"219",1,"spec","nb"
"220",1,"spec","nb"
"221",1,"spec","nb"
"222",1,"spec","nb"
"223",1,"spec","nb"
"224",1,"spec","nb"
"225",1,"spec","nb"
"226",1,"spec","nb"
"227",1,"spec","nb"
"228",1,"spec","nb"
"229",0,"spec","nb"
"230",1,"spec","nb"
"231",0.5,"spec","nb"
"232",1,"spec","nb"
"233",1,"spec","nb"
"234",1,"spec","nb"
"235",1,"spec","nb"
"236",1,"spec","nb"
"237",0.5,"spec","nb"
"238",0.5,"spec","nb"
"239",1,"spec","nb"
"240",1,"spec","nb"
"241",0,"spec","nb"
"242",1,"spec","nb"
"243",1,"spec","nb"
"244",0.5,"spec","nb"
"245",1,"spec","nb"
"246",1,"spec","nb"
"247",1,"spec","nb"
"248",1,"spec","nb"
"249",1,"spec","nb"
"250",1,"spec","nb"
