"","value","metric","algorithm"
"1",1,"acc","rf"
"2",0.5,"acc","rf"
"3",1,"acc","rf"
"4",0.833333333333333,"acc","rf"
"5",0.833333333333333,"acc","rf"
"6",0.714285714285714,"acc","rf"
"7",1,"acc","rf"
"8",0.833333333333333,"acc","rf"
"9",1,"acc","rf"
"10",0.833333333333333,"acc","rf"
"11",0.6,"acc","rf"
"12",1,"acc","rf"
"13",0.833333333333333,"acc","rf"
"14",1,"acc","rf"
"15",0.666666666666667,"acc","rf"
"16",0.857142857142857,"acc","rf"
"17",0.857142857142857,"acc","rf"
"18",0.833333333333333,"acc","rf"
"19",1,"acc","rf"
"20",1,"acc","rf"
"21",0.714285714285714,"acc","rf"
"22",0.714285714285714,"acc","rf"
"23",1,"acc","rf"
"24",0.857142857142857,"acc","rf"
"25",0.6,"acc","rf"
"26",0.8,"acc","rf"
"27",0.5,"acc","rf"
"28",1,"acc","rf"
"29",0.6,"acc","rf"
"30",0.714285714285714,"acc","rf"
"31",0.833333333333333,"acc","rf"
"32",0.6,"acc","rf"
"33",0.714285714285714,"acc","rf"
"34",0.833333333333333,"acc","rf"
"35",0.8,"acc","rf"
"36",1,"acc","rf"
"37",1,"acc","rf"
"38",1,"acc","rf"
"39",0.833333333333333,"acc","rf"
"40",0.857142857142857,"acc","rf"
"41",1,"acc","rf"
"42",1,"acc","rf"
"43",0.857142857142857,"acc","rf"
"44",0.857142857142857,"acc","rf"
"45",0.857142857142857,"acc","rf"
"46",0.571428571428571,"acc","rf"
"47",0.857142857142857,"acc","rf"
"48",1,"acc","rf"
"49",1,"acc","rf"
"50",1,"acc","rf"
"51",1,"kappa","rf"
"52",0,"kappa","rf"
"53",1,"kappa","rf"
"54",0.666666666666667,"kappa","rf"
"55",0.666666666666667,"kappa","rf"
"56",0.461538461538462,"kappa","rf"
"57",1,"kappa","rf"
"58",0.666666666666667,"kappa","rf"
"59",1,"kappa","rf"
"60",0.666666666666667,"kappa","rf"
"61",0.285714285714286,"kappa","rf"
"62",1,"kappa","rf"
"63",0.666666666666667,"kappa","rf"
"64",1,"kappa","rf"
"65",0.4,"kappa","rf"
"66",0.695652173913043,"kappa","rf"
"67",0.695652173913043,"kappa","rf"
"68",0.571428571428572,"kappa","rf"
"69",1,"kappa","rf"
"70",1,"kappa","rf"
"71",0.3,"kappa","rf"
"72",0.461538461538462,"kappa","rf"
"73",1,"kappa","rf"
"74",0.588235294117647,"kappa","rf"
"75",0.285714285714286,"kappa","rf"
"76",0.545454545454546,"kappa","rf"
"77",0.181818181818182,"kappa","rf"
"78",1,"kappa","rf"
"79",0.285714285714286,"kappa","rf"
"80",0.461538461538462,"kappa","rf"
"81",0.666666666666667,"kappa","rf"
"82",0.285714285714286,"kappa","rf"
"83",0.461538461538462,"kappa","rf"
"84",0.666666666666667,"kappa","rf"
"85",0.545454545454546,"kappa","rf"
"86",1,"kappa","rf"
"87",1,"kappa","rf"
"88",1,"kappa","rf"
"89",0.666666666666667,"kappa","rf"
"90",0.695652173913043,"kappa","rf"
"91",1,"kappa","rf"
"92",1,"kappa","rf"
"93",0.695652173913043,"kappa","rf"
"94",0.695652173913043,"kappa","rf"
"95",0.695652173913043,"kappa","rf"
"96",-0.235294117647059,"kappa","rf"
"97",0.695652173913043,"kappa","rf"
"98",1,"kappa","rf"
"99",1,"kappa","rf"
"100",1,"kappa","rf"
"101",1,"ROC","rf"
"102",1,"ROC","rf"
"103",1,"ROC","rf"
"104",1,"ROC","rf"
"105",1,"ROC","rf"
"106",1,"ROC","rf"
"107",1,"ROC","rf"
"108",0.9375,"ROC","rf"
"109",1,"ROC","rf"
"110",1,"ROC","rf"
"111",0.9,"ROC","rf"
"112",0.875,"ROC","rf"
"113",1,"ROC","rf"
"114",1,"ROC","rf"
"115",0.875,"ROC","rf"
"116",1,"ROC","rf"
"117",0.75,"ROC","rf"
"118",0.8,"ROC","rf"
"119",0.8,"ROC","rf"
"120",0.75,"ROC","rf"
"121",1,"ROC","rf"
"122",1,"ROC","rf"
"123",1,"ROC","rf"
"124",0.8,"ROC","rf"
"125",1,"ROC","rf"
"126",0.875,"ROC","rf"
"127",1,"ROC","rf"
"128",1,"ROC","rf"
"129",1,"ROC","rf"
"130",1,"ROC","rf"
"131",1,"ROC","rf"
"132",0.7,"ROC","rf"
"133",1,"ROC","rf"
"134",1,"ROC","rf"
"135",0.875,"ROC","rf"
