"","value","metric","algorithm"
"1",1,"acc","svm"
"2",1,"acc","svm"
"3",0.833333333333333,"acc","svm"
"4",1,"acc","svm"
"5",1,"acc","svm"
"6",1,"acc","svm"
"7",0.833333333333333,"acc","svm"
"8",1,"acc","svm"
"9",0.857142857142857,"acc","svm"
"10",0.857142857142857,"acc","svm"
"11",0.857142857142857,"acc","svm"
"12",1,"acc","svm"
"13",0.6,"acc","svm"
"14",0.833333333333333,"acc","svm"
"15",1,"acc","svm"
"16",1,"acc","svm"
"17",1,"acc","svm"
"18",0.857142857142857,"acc","svm"
"19",1,"acc","svm"
"20",0.8,"acc","svm"
"21",0.8,"acc","svm"
"22",0.833333333333333,"acc","svm"
"23",0.833333333333333,"acc","svm"
"24",1,"acc","svm"
"25",1,"acc","svm"
"26",1,"acc","svm"
"27",1,"acc","svm"
"28",0.8,"acc","svm"
"29",0.857142857142857,"acc","svm"
"30",0.666666666666667,"acc","svm"
"31",0.833333333333333,"acc","svm"
"32",1,"acc","svm"
"33",1,"acc","svm"
"34",1,"acc","svm"
"35",1,"acc","svm"
"36",0.833333333333333,"acc","svm"
"37",1,"acc","svm"
"38",0.857142857142857,"acc","svm"
"39",1,"acc","svm"
"40",1,"acc","svm"
"41",1,"acc","svm"
"42",1,"acc","svm"
"43",1,"acc","svm"
"44",0.857142857142857,"acc","svm"
"45",0.833333333333333,"acc","svm"
"46",1,"acc","svm"
"47",1,"acc","svm"
"48",0.857142857142857,"acc","svm"
"49",0.6,"acc","svm"
"50",1,"acc","svm"
"51",1,"kappa","svm"
"52",1,"kappa","svm"
"53",0.666666666666667,"kappa","svm"
"54",1,"kappa","svm"
"55",1,"kappa","svm"
"56",1,"kappa","svm"
"57",0.666666666666667,"kappa","svm"
"58",1,"kappa","svm"
"59",0.695652173913043,"kappa","svm"
"60",0.695652173913043,"kappa","svm"
"61",0.588235294117647,"kappa","svm"
"62",1,"kappa","svm"
"63",0.285714285714286,"kappa","svm"
"64",0.666666666666667,"kappa","svm"
"65",1,"kappa","svm"
"66",1,"kappa","svm"
"67",1,"kappa","svm"
"68",0.695652173913043,"kappa","svm"
"69",1,"kappa","svm"
"70",0.545454545454546,"kappa","svm"
"71",0.545454545454546,"kappa","svm"
"72",0.666666666666667,"kappa","svm"
"73",0.571428571428572,"kappa","svm"
"74",1,"kappa","svm"
"75",1,"kappa","svm"
"76",1,"kappa","svm"
"77",1,"kappa","svm"
"78",0.545454545454546,"kappa","svm"
"79",0.695652173913043,"kappa","svm"
"80",0.4,"kappa","svm"
"81",0.666666666666667,"kappa","svm"
"82",1,"kappa","svm"
"83",1,"kappa","svm"
"84",1,"kappa","svm"
"85",1,"kappa","svm"
"86",0.666666666666667,"kappa","svm"
"87",1,"kappa","svm"
"88",0.588235294117647,"kappa","svm"
"89",1,"kappa","svm"
"90",1,"kappa","svm"
"91",1,"kappa","svm"
"92",1,"kappa","svm"
"93",1,"kappa","svm"
"94",0.695652173913043,"kappa","svm"
"95",0.666666666666667,"kappa","svm"
"96",1,"kappa","svm"
"97",1,"kappa","svm"
"98",0.695652173913043,"kappa","svm"
"99",-0.250000000000001,"kappa","svm"
"100",1,"kappa","svm"
"101",1,"ROC","svm"
"102",1,"ROC","svm"
"103",1,"ROC","svm"
"104",0.9,"ROC","svm"
"105",1,"ROC","svm"
"106",1,"ROC","svm"
"107",1,"ROC","svm"
"108",0.75,"ROC","svm"
"109",1,"ROC","svm"
"110",1,"ROC","svm"
"111",0.9,"ROC","svm"
"112",1,"ROC","svm"
"113",0.75,"ROC","svm"
"114",1,"ROC","svm"
"115",1,"ROC","svm"
"116",0.9,"ROC","svm"
"117",1,"ROC","svm"
"118",1,"ROC","svm"
"119",1,"ROC","svm"
"120",1,"ROC","svm"
"121",1,"ROC","svm"
"122",1,"ROC","svm"
"123",0.75,"ROC","svm"
"124",1,"ROC","svm"
"125",0.875,"ROC","svm"
"126",1,"ROC","svm"
"127",1,"ROC","svm"
"128",1,"ROC","svm"
"129",1,"ROC","svm"
"130",0.8,"ROC","svm"
"131",1,"ROC","svm"
"132",1,"ROC","svm"
"133",0.9,"ROC","svm"
"134",1,"ROC","svm"
"135",1,"ROC","svm"
"136",1,"ROC","svm"
"137",1,"ROC","svm"
"138",1,"ROC","svm"
"139",1,"ROC","svm"
"140",1,"ROC","svm"
"141",1,"ROC","svm"
"142",1,"ROC","svm"
"143",1,"ROC","svm"
"144",1,"ROC","svm"
"145",1,"ROC","svm"
"146",1,"ROC","svm"
"147",1,"ROC","svm"
"148",1,"ROC","svm"
"149",0.75,"ROC","svm"
"150",1,"ROC","svm"
"151",1,"sens","svm"
"152",1,"sens","svm"
"153",0.75,"sens","svm"
"154",0.8,"sens","svm"
"155",1,"sens","svm"
"156",1,"sens","svm"
"157",0.75,"sens","svm"
"158",0.75,"sens","svm"
"159",1,"sens","svm"
"160",1,"sens","svm"
"161",0.8,"sens","svm"
"162",1,"sens","svm"
"163",0.75,"sens","svm"
"164",1,"sens","svm"
"165",1,"sens","svm"
"166",0.8,"sens","svm"
"167",0.8,"sens","svm"
"168",0.75,"sens","svm"
"169",1,"sens","svm"
"170",1,"sens","svm"
"171",1,"sens","svm"
"172",1,"sens","svm"
"173",0.75,"sens","svm"
"174",1,"sens","svm"
"175",0.5,"sens","svm"
"176",1,"sens","svm"
"177",0.75,"sens","svm"
"178",1,"sens","svm"
"179",1,"sens","svm"
"180",0.8,"sens","svm"
"181",0.75,"sens","svm"
"182",1,"sens","svm"
"183",0.8,"sens","svm"
"184",1,"sens","svm"
"185",1,"sens","svm"
"186",1,"sens","svm"
"187",1,"sens","svm"
"188",1,"sens","svm"
"189",0.8,"sens","svm"
"190",1,"sens","svm"
"191",1,"sens","svm"
"192",1,"sens","svm"
"193",0.75,"sens","svm"
"194",1,"sens","svm"
"195",0.75,"sens","svm"
"196",1,"sens","svm"
"197",1,"sens","svm"
"198",0.75,"sens","svm"
"199",0.5,"sens","svm"
"200",1,"sens","svm"
"201",1,"spec","svm"
"202",1,"spec","svm"
"203",1,"spec","svm"
"204",1,"spec","svm"
"205",0.5,"spec","svm"
"206",1,"spec","svm"
"207",1,"spec","svm"
"208",0,"spec","svm"
"209",1,"spec","svm"
"210",1,"spec","svm"
"211",1,"spec","svm"
"212",1,"spec","svm"
"213",1,"spec","svm"
"214",1,"spec","svm"
"215",0.5,"spec","svm"
"216",1,"spec","svm"
"217",1,"spec","svm"
"218",1,"spec","svm"
"219",1,"spec","svm"
"220",1,"spec","svm"
"221",1,"spec","svm"
"222",0.5,"spec","svm"
"223",1,"spec","svm"
"224",1,"spec","svm"
"225",1,"spec","svm"
"226",1,"spec","svm"
"227",1,"spec","svm"
"228",1,"spec","svm"
"229",1,"spec","svm"
"230",1,"spec","svm"
"231",1,"spec","svm"
"232",1,"spec","svm"
"233",1,"spec","svm"
"234",1,"spec","svm"
"235",0.5,"spec","svm"
"236",1,"spec","svm"
"237",1,"spec","svm"
"238",1,"spec","svm"
"239",1,"spec","svm"
"240",1,"spec","svm"
"241",1,"spec","svm"
"242",1,"spec","svm"
"243",1,"spec","svm"
"244",1,"spec","svm"
"245",1,"spec","svm"
"246",1,"spec","svm"
"247",1,"spec","svm"
"248",1,"spec","svm"
"249",1,"spec","svm"
"250",1,"spec","svm"
